date,week,start_date,end_date
2017-08-20,201734,2017-08-20,2017-08-26
2017-08-27,201735,2017-08-27,2017-09-02
2017-09-03,201736,2017-09-03,2017-09-09
2017-09-10,201737,2017-09-10,2017-09-16
2017-09-17,201738,2017-09-17,2017-09-23
2017-09-24,201739,2017-09-24,2017-09-30
2017-10-01,201740,2017-10-01,2017-10-07
2017-10-08,201741,2017-10-08,2017-10-14
2017-10-15,201742,2017-10-15,2017-10-21
2017-10-22,201743,2017-10-22,2017-10-28
2017-10-29,201744,2017-10-29,2017-11-04
2017-11-05,201745,2017-11-05,2017-11-11
2017-11-12,201746,2017-11-12,2017-11-18
2017-11-19,201747,2017-11-19,2017-11-25
2017-11-26,201748,2017-11-26,2017-12-02
2017-12-03,201749,2017-12-03,2017-12-09
2017-12-10,201750,2017-12-10,2017-12-16
2017-12-17,201751,2017-12-17,2017-12-23
2017-12-24,201752,2017-12-24,2017-12-30
2017-12-31,201801,2017-12-31,2018-01-06
2018-01-07,201802,2018-01-07,2018-01-13
2018-01-14,201803,2018-01-14,2018-01-20
2018-01-21,201804,2018-01-21,2018-01-27
2018-01-28,201805,2018-01-28,2018-02-03
2018-02-04,201806,2018-02-04,2018-02-10
2018-02-11,201807,2018-02-11,2018-02-17
2018-02-18,201808,2018-02-18,2018-02-24
2018-02-25,201809,2018-02-25,2018-03-03
2018-03-04,201810,2018-03-04,2018-03-10
2018-03-11,201811,2018-03-11,2018-03-17
2018-03-18,201812,2018-03-18,2018-03-24
2018-03-25,201813,2018-03-25,2018-03-31
2018-04-01,201814,2018-04-01,2018-04-07
2018-04-04,201815,2018-04-04,2018-04-10
2018-04-15,201816,2018-04-15,2018-04-21
2018-04-22,201817,2018-04-22,2018-04-28
2018-04-29,201818,2018-04-29,2018-05-05
2018-05-06,201819,2018-05-06,2018-05-12
2018-05-13,201820,2018-05-13,2018-05-19
2018-05-20,201821,2018-05-20,2018-05-26
2018-05-27,201822,2018-05-27,2018-06-02
2018-06-03,201823,2018-06-03,2018-06-09
2018-06-10,201824,2018-06-10,2018-06-16
2018-06-17,201825,2018-06-17,2018-06-23
2018-06-24,201826,2018-06-24,2018-06-30
2018-07-01,201827,2018-07-01,2018-07-07
2018-07-08,201828,2018-07-08,2018-07-14
2018-07-15,201829,2018-07-15,2018-07-21
2018-07-22,201830,2018-07-22,2018-07-28
2018-07-29,201831,2018-07-29,2018-08-04
2018-08-05,201832,2018-08-05,2018-08-11
2018-08-12,201833,2018-08-12,2018-08-18
2018-08-19,201834,2018-08-19,2018-08-25
2018-08-26,201835,2018-08-26,2018-09-01
2018-09-02,201836,2018-09-02,2018-09-08
2018-09-09,201837,2018-09-09,2018-09-15
2018-09-16,201838,2018-09-16,2018-09-22
2018-09-23,201839,2018-09-23,2018-09-29
2018-09-30,201840,2018-09-30,2018-10-06
2018-10-07,201841,2018-10-07,2018-10-13
2018-10-14,201842,2018-10-14,2018-10-20
2018-10-21,201843,2018-10-21,2018-10-27
2018-10-28,201844,2018-10-28,2018-11-03
2018-11-04,201845,2018-11-04,2018-11-10
2018-11-11,201846,2018-11-11,2018-11-17
2018-11-18,201847,2018-11-18,2018-11-24
2018-11-25,201848,2018-11-25,2018-12-01
2018-12-02,201849,2018-12-02,2018-12-08
2018-12-09,201850,2018-12-09,2018-12-15
2018-12-16,201851,2018-12-16,2018-12-22
2018-12-23,201852,2018-12-23,2018-12-29
2018-12-30,201901,2018-12-30,2019-01-05
2019-01-06,201902,2019-01-06,2019-01-12
2019-01-13,201903,2019-01-13,2019-01-19
