week,precipitation_avg,precipitation_max,CITY
202125,0.3563,1.7942,Angra Dos Reis
202126,0.1258,0.5089,Angra Dos Reis
202127,0.2815,1.6789,Angra Dos Reis
202128,0.0335,0.1325,Angra Dos Reis
202129,0.0739,0.4512,Angra Dos Reis
202130,0.5532,2.867,Angra Dos Reis
202131,0.1925,1.0495,Angra Dos Reis
202132,0.647,3.0505,Angra Dos Reis
202133,0.7042,5.4574,Angra Dos Reis
202134,0.1744,1.0291,Angra Dos Reis
202135,1.4911,5.3353,Angra Dos Reis
202136,0.8395,5.1194,Angra Dos Reis
202137,0.5585,2.7604,Angra Dos Reis
202138,0.5036,2.0075,Angra Dos Reis
202139,0.351,1.1499,Angra Dos Reis
202140,2.4889,9.2375,Angra Dos Reis
202141,1.2601,4.3932,Angra Dos Reis
202142,2.1787,6.3368,Angra Dos Reis
202143,2.8751,8.0233,Angra Dos Reis
202144,1.7926,7.3591,Angra Dos Reis
202145,1.3268,4.9349,Angra Dos Reis
202146,1.891,8.5091,Angra Dos Reis
202147,0.7883,6.3144,Angra Dos Reis
202148,1.7459,7.8341,Angra Dos Reis
202149,4.4087,19.3761,Angra Dos Reis
202150,9.1173,22.3713,Angra Dos Reis
202151,2.207,9.7954,Angra Dos Reis
202152,4.1586,15.8088,Angra Dos Reis
202201,4.292,15.3216,Angra Dos Reis
202202,2.9548,11.7415,Angra Dos Reis
202203,1.7444,8.0336,Angra Dos Reis
202204,2.7102,10.5895,Angra Dos Reis
202205,4.9985,13.1925,Angra Dos Reis
202206,5.0143,19.3216,Angra Dos Reis
202207,3.5577,15.5475,Angra Dos Reis
202208,1.2269,8.2202,Angra Dos Reis
202209,0.1641,1.1458,Angra Dos Reis
202210,0.2579,2.1124,Angra Dos Reis
202211,5.6006,21.8897,Angra Dos Reis
202212,3.0018,19.6044,Angra Dos Reis
202213,10.3885,34.9184,Angra Dos Reis
202214,2.6663,13.2015,Angra Dos Reis
202215,3.6451,15.569,Angra Dos Reis
202216,0.1049,0.7031,Angra Dos Reis
202217,2.6712,12.1423,Angra Dos Reis
202218,1.0977,3.9907,Angra Dos Reis
202219,0.7609,2.1745,Angra Dos Reis
202220,0.8146,4.377,Angra Dos Reis
202221,0.0253,0.1815,Angra Dos Reis
202222,0.9697,3.0382,Angra Dos Reis
202223,1.0333,2.9109,Angra Dos Reis
202224,0.4076,1.6076,Angra Dos Reis
202225,0.2922,1.7065,Angra Dos Reis
202226,0.4498,2.312,Angra Dos Reis
202227,0.0381,0.102,Angra Dos Reis
202228,0.5054,3.288,Angra Dos Reis
202229,0.8899,3.7476,Angra Dos Reis
202230,0.7251,3.797,Angra Dos Reis
202231,0.1286,0.6752,Angra Dos Reis
202232,1.1592,3.4643,Angra Dos Reis
202233,0.5484,2.5885,Angra Dos Reis
202234,0.1104,0.8512,Angra Dos Reis
202235,0.4762,2.1555,Angra Dos Reis
202236,0.3539,1.9843,Angra Dos Reis
202237,1.7447,4.6028,Angra Dos Reis
202238,0.6624,4.0055,Angra Dos Reis
202239,3.5691,11.4218,Angra Dos Reis
202240,0.7425,2.8286,Angra Dos Reis
202241,1.1253,4.735,Angra Dos Reis
202242,0.7025,3.6942,Angra Dos Reis
202243,2.261,10.1077,Angra Dos Reis
202244,4.0154,11.3594,Angra Dos Reis
202245,3.1707,16.1582,Angra Dos Reis
202246,1.4655,7.976,Angra Dos Reis
202247,4.024,15.5785,Angra Dos Reis
202248,5.232,18.7042,Angra Dos Reis
202249,1.6322,7.5866,Angra Dos Reis
202250,2.1245,10.163,Angra Dos Reis
202251,2.4391,6.6149,Angra Dos Reis
202252,2.3825,12.4949,Angra Dos Reis
201201,5.2972,18.7077,Aperibé
201202,3.8371,16.7954,Aperibé
201203,0.4717,3.5117,Aperibé
201204,2.7207,16.7984,Aperibé
201205,4.8219,25.6979,Aperibé
201206,0.1487,0.917,Aperibé
201207,1.7163,6.2038,Aperibé
201208,0.4999,3.4018,Aperibé
201209,0.0297,0.0768,Aperibé
201210,0.7605,4.1518,Aperibé
201211,3.0045,12.5186,Aperibé
201212,2.9731,13.6332,Aperibé
201213,2.6072,10.5649,Aperibé
201214,1.4908,7.9176,Aperibé
201215,0.6236,3.2118,Aperibé
201216,1.7837,9.0264,Aperibé
201217,1.0839,5.4569,Aperibé
201218,2.6329,17.6898,Aperibé
201219,0.3108,1.6349,Aperibé
201220,2.2285,8.4362,Aperibé
201221,0.1435,0.6317,Aperibé
201222,4.6328,27.4248,Aperibé
201223,1.191,9.425,Aperibé
201224,0.6822,4.1559,Aperibé
201225,0.8244,6.511,Aperibé
201226,0.2768,1.571,Aperibé
201227,0.0767,0.1812,Aperibé
201228,1.1093,5.6521,Aperibé
201229,0.8566,3.4839,Aperibé
201230,0.0815,0.3791,Aperibé
201231,0.3716,2.0281,Aperibé
201232,0.9501,4.9206,Aperibé
201233,2.3024,5.7934,Aperibé
201234,1.0137,2.6613,Aperibé
201235,0.568,2.8805,Aperibé
201236,0.3379,2.1772,Aperibé
201237,0.1116,0.3429,Aperibé
201238,1.729,9.0986,Aperibé
201239,1.6425,7.7184,Aperibé
201240,0.011,0.0461,Aperibé
201241,1.2755,6.4609,Aperibé
201242,0.1498,0.9101,Aperibé
201243,0.6038,2.6939,Aperibé
201244,0.5936,2.7993,Aperibé
