week,precipitation_avg,precipitation_max,CITY
202144,2.1302,8.3652,Angra Dos Reis
202145,1.2648,4.7077,Angra Dos Reis
202146,2.0912,9.7077,Angra Dos Reis
202147,0.7796,6.3479,Angra Dos Reis
202148,2.2734,10.0913,Angra Dos Reis
202149,4.795,20.4306,Angra Dos Reis
202150,9.5017,23.3225,Angra Dos Reis
202151,2.507,10.0308,Angra Dos Reis
202152,4.9099,16.3761,Angra Dos Reis
202201,4.376,14.84,Angra Dos Reis
202202,3.2,12.104,Angra Dos Reis
202203,1.8671,8.7107,Angra Dos Reis
202204,2.7448,11.6133,Angra Dos Reis
202205,5.4258,14.5348,Angra Dos Reis
202206,5.5804,20.1801,Angra Dos Reis
202207,4.1399,16.6032,Angra Dos Reis
202208,1.695,10.5542,Angra Dos Reis
202209,0.3143,2.1167,Angra Dos Reis
202210,0.6685,4.2625,Angra Dos Reis
202211,5.5967,20.8142,Angra Dos Reis
202212,3.5571,19.632,Angra Dos Reis
202213,10.0011,28.52,Angra Dos Reis
202214,2.6508,13.9126,Angra Dos Reis
202215,3.9356,16.3403,Angra Dos Reis
202216,0.0949,0.552,Angra Dos Reis
202217,2.5577,11.088,Angra Dos Reis
202218,1.2434,3.7472,Angra Dos Reis
202219,0.6046,1.6794,Angra Dos Reis
202220,0.8146,4.248,Angra Dos Reis
202221,0.0262,0.1874,Angra Dos Reis
202222,0.9397,2.92,Angra Dos Reis
202223,1.0358,2.9202,Angra Dos Reis
202224,0.368,1.392,Angra Dos Reis
202225,0.2571,1.424,Angra Dos Reis
202226,0.5634,2.992,Angra Dos Reis
202227,0.0433,0.104,Angra Dos Reis
202228,0.4046,2.584,Angra Dos Reis
202229,0.8692,3.6097,Angra Dos Reis
202230,0.8046,4.304,Angra Dos Reis
202231,0.1281,0.6181,Angra Dos Reis
202232,1.2446,4.232,Angra Dos Reis
202233,0.5131,2.296,Angra Dos Reis
202234,0.0935,0.7148,Angra Dos Reis
202235,0.6343,2.808,Angra Dos Reis
202236,0.3189,1.8,Angra Dos Reis
202237,1.6132,4.632,Angra Dos Reis
202238,1.038,6.08,Angra Dos Reis
202239,3.5843,11.2091,Angra Dos Reis
202240,0.8149,3.144,Angra Dos Reis
202241,1.1274,4.6827,Angra Dos Reis
202242,0.744,3.9287,Angra Dos Reis
202243,2.3012,9.475,Angra Dos Reis
202244,3.9107,11.2902,Angra Dos Reis
202245,3.5073,15.9696,Angra Dos Reis
202246,1.8579,8.6136,Angra Dos Reis
202247,3.9769,15.1011,Angra Dos Reis
202248,4.9788,17.2846,Angra Dos Reis
202249,1.8253,8.1846,Angra Dos Reis
202250,3.2077,13.9077,Angra Dos Reis
202251,2.317,6.1264,Angra Dos Reis
202252,3.4199,13.1857,Angra Dos Reis
201201,5.6804,18.3375,Aperibé
201202,3.8931,16.5375,Aperibé
201203,0.7254,5.05,Aperibé
201204,2.9002,17.0958,Aperibé
201205,4.8423,27.415,Aperibé
201206,0.1365,0.7814,Aperibé
201207,2.0406,7.501,Aperibé
201208,0.5962,4.0133,Aperibé
201209,0.0239,0.0251,Aperibé
201210,1.1867,5.3867,Aperibé
201211,3.7885,15.1145,Aperibé
201212,3.6177,15.2014,Aperibé
201213,2.5982,10.7119,Aperibé
201214,2.7552,14.1,Aperibé
201215,0.8143,4.0625,Aperibé
201216,2.0607,9.6125,Aperibé
201217,1.1071,5.325,Aperibé
201218,2.7696,16.7614,Aperibé
201219,0.3142,1.6177,Aperibé
201220,1.9595,7.6125,Aperibé
201221,0.1786,0.7875,Aperibé
201222,4.4199,26.6057,Aperibé
201223,0.9212,8.1375,Aperibé
201224,0.7077,4.339,Aperibé
201225,1.1057,8.1881,Aperibé
201226,0.2457,1.28,Aperibé
201227,0.0783,0.1753,Aperibé
201228,1.4321,6.35,Aperibé
201229,0.8411,3.575,Aperibé
201230,0.0929,0.4,Aperibé
201231,0.3571,1.903,Aperibé
201232,1.1143,5.425,Aperibé
201233,2.2907,5.9689,Aperibé
201234,0.9897,2.5931,Aperibé
201235,0.6554,3.25,Aperibé
201236,0.3482,2.2375,Aperibé
201237,0.1121,0.294,Aperibé
201238,1.7214,8.525,Aperibé
201239,1.7304,8.6375,Aperibé
201240,0.0179,0.0625,Aperibé
201241,1.3366,7.3375,Aperibé
201242,0.1473,0.9516,Aperibé
201243,0.5477,2.2243,Aperibé
201244,0.6559,2.98,Aperibé
201245,1.3179,4.0125,Aperibé
201246,3.9213,15.3382,Aperibé
201247,1.4076,8.0133,Aperibé
