date,week,cases,population,tempe_min,humidity_max,humidity_avg,humidity_min,temp_avg,temp_max,geocode,vim,vim_monthly,precipitation_avg_ordinary_krigging,precipitation_max_ordinary_krigging,precipitation_avg_regression_krigging,precipitation_max_regression_krigging,case_increase,is_outbreak,outbreak_label
2020-06-21,202026,0,15514.0,18.7142857142857,90.0103371428571,65.5594115714286,47.5072982857143,24.4642857142857,28.0,3300902,0.6859575035738791,0.7103333333333334,0.0341,0.2027,0.0905,0.5295,0.0,0,0
2018-05-13,201820,0,15514.0,22.2857142857143,90.8833742857143,74.6053822857143,63.0630308571429,25.112245,27.4285714285714,3300902,0.7216276547638257,0.7269333333333333,1.4454,8.5749,1.4386,9.4489,-2.0,0,0
2012-03-18,201212,0,15514.0,22.7142857142857,99.1428571428571,79.8793885714286,46.1428571428571,26.827619,32.2857142857143,3300902,0.7379647996400738,0.7317666666666667,3.5311,14.9273,2.9066,13.2334,0.0,0,0
2019-09-15,201938,0,15514.0,22.4285714285714,87.3138722857143,69.2868125714286,58.5594417142857,25.8214282857143,28.0,3300902,0.45331483522594995,0.4506666666666666,0.0703,0.4154,0.0844,0.4983,0.0,0,0
2020-03-22,202013,0,15514.0,21.5714285714286,90.4116935714286,67.3492971428571,52.8060808571429,25.8809525714286,28.2857142857143,3300902,0.783932198718278,0.7847666666666666,0.8339,3.4667,0.7604,3.4939,0.0,0,0
2017-11-12,201746,0,15514.0,21.2179487179487,95.70000685714285,76.84212042857145,55.09828457142858,24.7871771142857,28.171428571428578,3300902,0.5623534877233668,0.5578666666666666,1.0635,7.613,1.0473,7.7941,0.0,0,0
2018-08-12,201833,0,15514.0,18.2857142857143,91.6806857142857,78.3653028571429,67.167517,20.8979592857143,22.7142857142857,3300902,0.6273243732025814,0.6252666666666666,0.4714,2.7917,0.5005,3.0151,0.0,0,0
2018-01-14,201803,0,15514.0,23.5,87.68207,82.7988958333333,80.2032111666667,24.6666666666667,25.3333333333333,3300902,0.7417583810608436,0.7388333333333333,0.1062,1.3727,0.1111,1.718,0.0,0,0
2017-01-01,201701,0,15514.0,25.0,91.7142857142857,84.4642857142857,78.4285714285714,26.4071428571429,27.8571428571429,3300902,0.7211,0.7126333333333333,1.5294,5.6114,1.2445,5.5333,-1.0,0,0
2014-11-09,201446,0,15514.0,22.2857142857143,90.8571428571429,71.4360557142857,49.5714285714286,25.6316327142857,29.0,3300902,0.6252037419735272,0.6193666666666666,2.709,9.4487,2.3394,8.6407,0.0,0,0
